schemaVersion,recordType,name,description,category,pricing,website,source_name,source_url
1.0,PRODUCT,ChatGPT,"ChatGPT is OpenAI's conversational AI that can answer questions, write content, analyze data, and assist with a wide range of tasks. It supports text, image, and file inputs via the GPT-4o model.",AI Assistants,Freemium,https://chat.openai.com,AIFOXX,https://chat.openai.com
1.0,PRODUCT,Google Gemini,"Google Gemini is Google's multimodal AI assistant capable of reasoning across text, images, audio, and code. It integrates with Google Workspace and offers the powerful Gemini Ultra model.",AI Assistants,Freemium,https://gemini.google.com,AIFOXX,https://gemini.google.com
1.0,PRODUCT,Claude,"Claude is Anthropic's AI assistant known for its long context window, nuanced reasoning, and safety-focused design. It excels at document analysis, writing, and complex multi-step reasoning tasks.",AI Assistants,Freemium,https://claude.ai,AIFOXX,https://claude.ai
1.0,PRODUCT,Perplexity,"Perplexity is an AI-powered search engine that delivers concise, sourced answers to queries in real time. It combines large language models with live web search to provide cited responses.",AI Assistants,Freemium,https://perplexity.ai,AIFOXX,https://perplexity.ai
1.0,PRODUCT,Microsoft Copilot,"Microsoft Copilot is Microsoft's AI assistant built on GPT-4, integrated across Bing, Windows, and Microsoft 365 apps. It can generate content, answer questions, and automate tasks within the Microsoft ecosystem.",AI Assistants,Freemium,https://copilot.microsoft.com,AIFOXX,https://copilot.microsoft.com
1.0,PRODUCT,Grok,"Grok is xAI's conversational AI assistant integrated into the X (Twitter) platform, offering real-time web access and a less restricted tone. It provides witty, direct answers and can generate images.",AI Assistants,Freemium,https://grok.x.ai,AIFOXX,https://grok.x.ai
1.0,PRODUCT,Poe,"Poe is Quora's multi-model AI chat platform that provides access to ChatGPT, Claude, Gemini, Llama, and other AI models in one place. Users can also create and share custom AI bots.",AI Assistants,Freemium,https://poe.com,AIFOXX,https://poe.com
1.0,PRODUCT,Pi,"Pi is Inflection AI's personal AI assistant designed for empathetic, conversational interactions. It focuses on being a supportive companion for thinking through personal challenges and ideas.",AI Assistants,Free,https://pi.ai,AIFOXX,https://pi.ai
1.0,PRODUCT,HuggingChat,"HuggingChat is Hugging Face's open-source AI chat interface providing access to top open-source language models including Llama, Mistral, and others. It offers a privacy-friendly alternative to closed AI chatbots.",AI Assistants,Free,https://huggingface.co/chat,AIFOXX,https://huggingface.co/chat
1.0,PRODUCT,Mistral AI,Mistral AI provides access to its own family of efficient large language models through a chat interface and API. The platform is known for high performance at lower computational costs and strong multilingual capabilities.,AI Assistants,Freemium,https://chat.mistral.ai,AIFOXX,https://chat.mistral.ai
1.0,PRODUCT,Cohere,"Cohere is an enterprise AI platform offering language model APIs for text generation, embedding, and classification. It is designed for businesses building production AI applications with a focus on security and deployment flexibility.",AI Assistants,Freemium,https://cohere.com,AIFOXX,https://cohere.com
1.0,PRODUCT,DeepSeek,"DeepSeek is a Chinese AI lab's conversational assistant built on its own large language models, offering strong performance in coding and reasoning at competitive pricing. The DeepSeek-R1 model rivals top frontier models on benchmarks.",AI Assistants,Freemium,https://chat.deepseek.com,AIFOXX,https://chat.deepseek.com
1.0,PRODUCT,Meta AI,"Meta AI is Meta's AI assistant powered by the Llama model, accessible via Facebook, Instagram, WhatsApp, and Messenger. It can answer questions, generate images, and assist with tasks directly within Meta platforms.",AI Assistants,Free,https://www.meta.ai,AIFOXX,https://www.meta.ai
1.0,PRODUCT,You.com,You.com is an AI-powered search engine that combines web search results with AI-generated summaries and lets users choose their preferred AI model for responses. It offers a privacy-first approach to AI search.,AI Assistants,Freemium,https://you.com,AIFOXX,https://you.com
1.0,PRODUCT,Phind,"Phind is an AI-powered search engine tailored for software developers, providing code-aware answers with cited sources. It searches the web and technical documentation to deliver contextually relevant coding help.",AI Assistants,Freemium,https://phind.com,AIFOXX,https://phind.com
1.0,PRODUCT,Komo,"Komo is a fast AI search engine that generates concise, direct answers without tracking user data. It focuses on speed and privacy, providing summaries alongside traditional search links.",AI Assistants,Free,https://komo.ai,AIFOXX,https://komo.ai
1.0,PRODUCT,Andi,Andi is a conversational AI search assistant that presents results in a chat-like interface without ads or tracking. It synthesizes web information into readable answers with source citations.,AI Assistants,Free,https://andisearch.com,AIFOXX,https://andisearch.com
1.0,PRODUCT,Aria by Opera,"Aria is Opera browser's built-in AI assistant powered by multiple AI models, offering real-time web access, tab management, and content summarization. It is integrated directly into the Opera and Opera GX browsers.",AI Assistants,Free,https://www.opera.com/features/aria,AIFOXX,https://www.opera.com/features/aria
1.0,PRODUCT,Brave Leo,"Brave Leo is the AI assistant built into the Brave browser, providing chat, summarization, and Q&A capabilities directly within the browser without sending data to external servers by default.",AI Assistants,Freemium,https://brave.com/leo/,AIFOXX,https://brave.com/leo/
1.0,PRODUCT,Samsung Bixby,"Samsung Bixby is Samsung's AI voice assistant integrated into Galaxy smartphones, tablets, and smart home devices. It enables voice-controlled device management, routines, and Samsung app interactions.",AI Assistants,Free,https://www.samsung.com/bixby,AIFOXX,https://www.samsung.com/bixby
1.0,PRODUCT,Amazon Alexa,"Amazon Alexa is Amazon's cloud-based voice AI assistant available on Echo devices and integrated into thousands of third-party products. It handles smart home control, shopping, music, news, and thousands of skill integrations.",AI Assistants,Free,https://alexa.amazon.com,AIFOXX,https://alexa.amazon.com
1.0,PRODUCT,Google Assistant,"Google Assistant is Google's voice-based AI assistant available on Android devices, smart speakers, and smart displays. It integrates deeply with Google services and supports voice search, reminders, and smart home control.",AI Assistants,Free,https://assistant.google.com,AIFOXX,https://assistant.google.com
1.0,PRODUCT,Apple Siri,"Apple Siri is Apple's AI assistant built into iOS, macOS, watchOS, and HomePod, enabling voice-controlled device management, app shortcuts, and Apple service integrations with on-device processing for privacy.",AI Assistants,Free,https://www.apple.com/siri,AIFOXX,https://www.apple.com/siri
1.0,PRODUCT,Character.AI,"Character.AI is a platform for creating and chatting with AI characters that can simulate celebrities, fictional personas, and user-created personalities. It is widely popular for entertainment and creative roleplay.",AI Assistants,Freemium,https://character.ai,AIFOXX,https://character.ai
1.0,PRODUCT,Replika,"Replika is an AI companion app designed for supportive conversations, personal growth, and emotional connection. Users build a relationship with their AI friend through daily interactions and customizable avatars.",AI Assistants,Freemium,https://replika.com,AIFOXX,https://replika.com
1.0,PRODUCT,Jasper,"Jasper is an enterprise AI content creation platform that generates marketing copy, blog posts, social media content, and brand-consistent messaging at scale. It offers templates, brand voice settings, and team collaboration features.",Content Creation,Paid,https://jasper.ai,AIFOXX,https://jasper.ai
1.0,PRODUCT,Copy.ai,"Copy.ai is an AI copywriting tool that helps marketers and businesses generate marketing copy, sales emails, product descriptions, and social media content quickly. It features over 90 content templates and a long-form editor.",Content Creation,Freemium,https://copy.ai,AIFOXX,https://copy.ai
1.0,PRODUCT,Writesonic,"Writesonic is an AI writing and content platform that generates SEO-optimized articles, landing pages, ads, and chatbots. It includes Chatsonic, an AI chatbot with web search, and Botsonic for customer support automation.",Content Creation,Freemium,https://writesonic.com,AIFOXX,https://writesonic.com
1.0,PRODUCT,Rytr,"Rytr is an affordable AI writing assistant that helps users generate content for emails, blog posts, social media, and more using over 40 use-case templates and 30+ language support. It is one of the most budget-friendly AI writing tools.",Content Creation,Freemium,https://rytr.me,AIFOXX,https://rytr.me
1.0,PRODUCT,Anyword,"Anyword is an AI copywriting platform with a unique performance prediction score that estimates how well copy will convert before publishing. It helps marketers create data-driven ad copy, emails, and landing page content.",Content Creation,Paid,https://anyword.com,AIFOXX,https://anyword.com
1.0,PRODUCT,Grammarly,"Grammarly is an AI-powered writing assistant that checks grammar, spelling, style, clarity, and tone across emails, documents, and web content. It integrates with browsers, Microsoft Office, and Google Docs.",Content Creation,Freemium,https://grammarly.com,AIFOXX,https://grammarly.com
1.0,PRODUCT,Wordtune,"Wordtune is an AI writing companion by AI21 Labs that helps users rewrite sentences, adjust tone, and expand or shorten text. It offers a Chrome extension for rewriting content across any web platform.",Content Creation,Freemium,https://wordtune.com,AIFOXX,https://wordtune.com
1.0,PRODUCT,QuillBot,"QuillBot is an AI paraphrasing tool that rephrases text in multiple modes including standard, fluency, formal, and creative. It also includes a grammar checker, summarizer, citation generator, and plagiarism checker.",Content Creation,Freemium,https://quillbot.com,AIFOXX,https://quillbot.com
1.0,PRODUCT,Hemingway Editor,"Hemingway Editor is a writing clarity tool that highlights overly complex sentences, passive voice, excessive adverbs, and hard-to-read passages. It grades reading level and encourages bold, clear writing.",Content Creation,Freemium,https://hemingwayapp.com,AIFOXX,https://hemingwayapp.com
1.0,PRODUCT,ProWritingAid,"ProWritingAid is an AI writing coach that offers deep analysis of grammar, style, structure, and readability across 20+ writing reports. It is especially popular among novelists and long-form writers.",Content Creation,Freemium,https://prowritingaid.com,AIFOXX,https://prowritingaid.com
1.0,PRODUCT,Sudowrite,"Sudowrite is an AI writing tool built specifically for creative fiction, offering features like story generation, character development, scene rewriting, and the Wormhole tool for unstuck moments.",Content Creation,Paid,https://sudowrite.com,AIFOXX,https://sudowrite.com
1.0,PRODUCT,Notion AI,"Notion AI is an integrated AI writing assistant within the Notion workspace that can draft documents, summarize notes, generate action items, and improve writing without leaving the app.",Content Creation,Freemium,https://www.notion.com/product/ai,AIFOXX,https://www.notion.com/product/ai
1.0,PRODUCT,Writer,"Writer is an enterprise AI writing platform that enforces brand voice, style guides, and terminology across an organization's content. It provides AI generation, grammar checking, and content governance for large teams.",Content Creation,Paid,https://writer.com,AIFOXX,https://writer.com
1.0,PRODUCT,Simplified,"Simplified is an all-in-one AI content and design platform that combines AI writing, graphic design, video editing, and social media scheduling. It is aimed at marketing teams and solo creators.",Content Creation,Freemium,https://simplified.com,AIFOXX,https://simplified.com
1.0,PRODUCT,Frase,"Frase is an AI content optimization tool that helps writers research, outline, and write SEO-optimized content based on analysis of top-ranking search results. It auto-generates briefs from SERP data.",Content Creation,Paid,https://frase.io,AIFOXX,https://frase.io
1.0,PRODUCT,Clearscope,Clearscope is an SEO content optimization platform that analyzes top-ranking content and provides keyword recommendations to improve content relevance and search rankings. It integrates with Google Docs and WordPress.,Content Creation,Paid,https://clearscope.io,AIFOXX,https://clearscope.io
1.0,PRODUCT,Surfer SEO,"Surfer SEO is an AI-powered content optimization tool that analyzes over 500 on-page signals to recommend keyword density, structure, and word count for ranking content. It includes a built-in AI article writer.",Content Creation,Paid,https://surferseo.com,AIFOXX,https://surferseo.com
1.0,PRODUCT,MarketMuse,"MarketMuse is an AI content strategy platform that uses machine learning to identify content gaps, recommend topics, and score content quality against competitive SERP data. It helps content teams plan at scale.",Content Creation,Freemium,https://marketmuse.com,AIFOXX,https://marketmuse.com
1.0,PRODUCT,Scalenut,Scalenut is an AI content marketing platform that covers the full SEO content workflow from keyword research and topic clustering to AI writing and post-publishing optimization.,Content Creation,Freemium,https://scalenut.com,AIFOXX,https://scalenut.com
1.0,PRODUCT,ContentBot,"ContentBot is an AI content generation tool that creates blog posts, marketing copy, product descriptions, and social media content. It also supports automated content workflows via its API.",Content Creation,Freemium,https://contentbot.ai,AIFOXX,https://contentbot.ai
1.0,PRODUCT,Pepper (Pepper Content),"Peppertype.ai is an AI content assistant from Pepper Content that generates marketing copy, blog introductions, ad scripts, and social media posts using GPT-based models with content templates.",Content Creation,Paid,https://www.pepper.inc,AIFOXX,https://www.pepper.inc
1.0,PRODUCT,TextCortex,"TextCortex is an AI writing assistant available as a browser extension that works across websites and apps to rewrite, translate, summarize, and generate content in context. It supports 25+ languages.",Content Creation,Freemium,https://textcortex.com,AIFOXX,https://textcortex.com
1.0,PRODUCT,Hypotenuse AI,"Hypotenuse AI is an AI content generation platform focused on e-commerce and SEO, creating bulk product descriptions, blog articles, and ad copy from minimal input. It supports batch generation for large catalogs.",Content Creation,Freemium,https://hypotenuse.ai,AIFOXX,https://hypotenuse.ai
1.0,PRODUCT,Lex,"Lex is an AI-powered writing editor designed for long-form content that offers inline AI assistance for brainstorming, editing, and rewriting while maintaining a distraction-free writing environment.",Content Creation,Freemium,https://lex.page,AIFOXX,https://lex.page
