arxiv_id,title,paper_url,github_url
2609.10539,IdeaAMBIG: Benchmarking Implementation-Critical Gaps in Research-Idea Specifications,https://arxiv.org/abs/2609.10539v1,
2609.10534,Likelihood-free inference with nuisance parameters through normalizing flows,https://arxiv.org/abs/2609.10534v1,
2609.10529,A positive resolution of the gap-entropy conjecture,https://arxiv.org/abs/2609.10529v1,
2609.10525,Characterizing Language Generation in the Limit: Finite Witnesses and a Separation-Width Hierarch,https://arxiv.org/abs/2609.10525v1,
2609.10522,Show-Harness: Just a VLM Agent Can Play Robots,https://arxiv.org/abs/2609.10522v1,
2609.10514,Optimal Low-Rank Quantum State Tomography with Bounded-Sample Joint Measurements,https://arxiv.org/abs/2609.10514v1,
2609.10505,Quantum Feature Engineering for Credit Default Prediction: When and Why IQP Circuits Help Linear Classifiers,https://arxiv.org/abs/2609.10505v1,
2609.10495,Cross-Model Agreement as a Deployment-Time Reliability Signal for Automatic Polyp Segmentation,https://arxiv.org/abs/2609.10495v1,
2609.10494,"IBIB: A Protocol for Measuring Enterprise AI Systems by Serving Route, Not Model Identifier",https://arxiv.org/abs/2609.10494v1,
2609.1049,Learning with Covariance Matrices: Principal Component Analysis Meets Learning with Graphs,https://arxiv.org/abs/2609.10490v1,
2609.10487,Nonmaximal sums of maximally monotone operators under Rockafellar's constraint qualification,https://arxiv.org/abs/2609.10487v1,
2609.10479,Deep Learning-Based Detection of Electrical Faults and Power Quality Disturbances in Aerospace Power Systems,https://arxiv.org/abs/2609.10479v1,
2609.10464,Semigroup-JEPA: Latent Dynamics Consistency for Zero-Shot Physics Generalization,https://arxiv.org/abs/2609.10464v1,
2609.10451,JarvisGUI: Towards Cross-Device GUI Agents with Dynamic Task Composition,https://arxiv.org/abs/2609.10451v1,
2609.10445,Building Multilingual Bridges: Data Mixing as the Pillar of Generalization for In-Language Reasoning,https://arxiv.org/abs/2609.10445v1,
2609.10441,ConvMem: Convolutional Memory for Long-Context Reasoning,https://arxiv.org/abs/2609.10441v1,
2609.10439,Forgetting Only What Matters: Layer-Selective Unlearning toward Robust LLMs,https://arxiv.org/abs/2609.10439v1,
2609.10434,Do speech foundation models really learn words?,https://arxiv.org/abs/2609.10434v1,
2609.10433,Multi-Agent Reinforcement Learning for Autonomous UAV Exploration in Wildfire Response,https://arxiv.org/abs/2609.10433v1,
2609.10428,Algorithmic stability via ensembling,https://arxiv.org/abs/2609.10428v1,
2609.10421,Emergency Department Revisit Quality Review Screening: Exploring Human Decision-Making and Artificial Intelligence Support,https://arxiv.org/abs/2609.10421v1,
2609.10413,Fortunate Recall: Ontology-Driven Memory Lifecycle Management for Persistent Coherence in LLMs,https://arxiv.org/abs/2609.10413v1,
2609.1041,Can Foundation Models Moderate Online Content? Evaluating Instruction- vs. Example-Driven Policy Operationalization,https://arxiv.org/abs/2609.10410v1,
2609.10404,HybridFLow: SDN-Orchestrated Client Partitioning for Hybrid Federated Learning,https://arxiv.org/abs/2609.10404v1,
2609.10397,Retrofitting Code Using LLMs to Support Exceptional Behavior,https://arxiv.org/abs/2609.10397v1,
2609.10395,Rosetta at AlexandriaX-2026: LoRA-Adapted NileChat for Context-Aware Dialectal Arabic Dialogue Translation,https://arxiv.org/abs/2609.10395v1,
2609.10385,MOONWALK: Mediating Operations with Intent-Evidence-Action Alignment Across Junior-Supervisor Review Workflows in Animation/VFX Pre-Production,https://arxiv.org/abs/2609.10385v1,
2609.10382,Searching for New Physics with Reinforcement Learning,https://arxiv.org/abs/2609.10382v1,
2609.10372,PACE: Perceived-Latency-Aware Cascading Service Routing and Filler Control for QoE-Efficient Retrieval-Augmented Dialogue Serving,https://arxiv.org/abs/2609.10372v1,
2609.10364,OmniMed-FL: A Robust Multimodal Federated Learning Framework for Clinical Diagnosis,https://arxiv.org/abs/2609.10364v1,
2609.10357,A Later Test Set Is Not a New Domain: Pretraining Familiarity Survives a Contamination-Free Hold-Out,https://arxiv.org/abs/2609.10357v1,
2609.10355,Why Is Video Still So Expensive? A Survey of Inference-Efficiency Mechanisms in Video and Audiovisual LLMs,https://arxiv.org/abs/2609.10355v1,
2609.1035,Cyber-Financial Contagion: Modeling the Propagation of an AI Vendor Compromise Through the Banking System,https://arxiv.org/abs/2609.10350v1,
2609.10346,Beyond One-Size-Fits-All: Sample-Adaptive Strategy Routing for Vision Token Pruning in MLLMs,https://arxiv.org/abs/2609.10346v1,
2609.10338,TimeCues Studio: A Workspace for Music Annotation and Algorithm Prototyping,https://arxiv.org/abs/2609.10338v1,
2609.10335,From Symbolic Perception to Logical Deduction: A Framework for Guiding Language Models in Geometric Reasoning,https://arxiv.org/abs/2609.10335v1,
2609.10321,"On-Policy Distillation for Vision-Language Model Adaptation, an Effective Paradigm on Low-Quality Multimodal Data",https://arxiv.org/abs/2609.10321v1,
2609.10315,TRACE: Training Reasoning Agents for Causal Exploration with Synthesized Rewards,https://arxiv.org/abs/2609.10315v1,
2609.10311,"One Loop, Two Gains: Can Active Learning win the Lottery for Free?",https://arxiv.org/abs/2609.10311v1,
2609.10307,View-Structured Conformal Prediction for 3D Gaussian Splatting,https://arxiv.org/abs/2609.10307v1,
2609.10305,RiLM: Parameter-Efficient Language Modeling via Geodesic Decoding,https://arxiv.org/abs/2609.10305v1,
2609.10299,A Dominant Diffuse Phase in the Sparse Autoencoder Phase Diagram,https://arxiv.org/abs/2609.10299v1,
2609.10298,Learning Intrusion Response Strategies for OT Systems,https://arxiv.org/abs/2609.10298v1,
2609.10296,The Semantic Bottleneck: Leveraging Semantic Representations for Non-Invasive Speech Decoding,https://arxiv.org/abs/2609.10296v1,
2609.10293,GANDR: Claim Auditing for Verifiable Legal Answer Generation,https://arxiv.org/abs/2609.10293v1,
2609.10287,Training Trajectories Determine Circuit Removability in Annealable Soft-Prior Transformers,https://arxiv.org/abs/2609.10287v1,
2609.10276,Structural Fusion of Bayesian Networks with Limited Treewidth Using Genetic Algorithms,https://arxiv.org/abs/2609.10276v1,
2609.10266,KVShareArena: KV-Cache Reuse Across Contexts and Model Checkpoints,https://arxiv.org/abs/2609.10266v1,
2609.10264,Maverick: Private and Verifiable LLM Inference Made Practical via Matrix-Vector Multiplication Delegation,https://arxiv.org/abs/2609.10264v1,
2609.10263,What Should an Agent Forget? Separating What Is Stored from What Is Used,https://arxiv.org/abs/2609.10263v1,
2609.10253,DiSCo: A Distribution-First Steering and Cultural Prior Evaluation Framework for Measuring Cultural Preference Bias in LLMs,https://arxiv.org/abs/2609.10253v1,
2609.10248,A-JIT: Agentic Just-In-Time Software Construction,https://arxiv.org/abs/2609.10248v1,
2609.10244,Two-Token Features and Small-Large Ensembles for VLM Hallucination Detection,https://arxiv.org/abs/2609.10244v1,
